timestamp,FN2O_C1_broadcast_middle_strip_by_gateway,FN2O_C3_broadcast_middle_with_inhibitor,FN2O_C4_broadcast_side_strip_with_inhibitor
2023-07-08 08:30:00,1.59654,42.2155,41.6997
2023-07-08 09:00:00,1.8519,45.1711,48.5515
2023-07-08 09:30:00,1.95643,46.3863,48.9081
2023-07-08 10:00:00,2.20209,46.6569,52.5365
2023-07-08 10:30:00,1.92715,44.3308,49.1942
2023-07-08 11:00:00,2.04431,46.2708,53.7757
2023-07-08 11:30:00,2.00683,43.2428,55.4881
2023-07-08 12:00:00,1.83466,40.44,55.3362
2023-07-08 12:30:00,1.73205,34.046,52.0628
2023-07-08 13:00:00,1.62719,30.9476,48.6663
2023-07-08 13:30:00,1.66969,31.7365,46.5465
2023-07-08 14:00:00,1.53873,29.0817,48.0454
2023-07-08 14:30:00,1.46593,27.5718,50.0649
2023-07-08 15:00:00,1.31489,26.3956,44.3817
2023-07-08 15:30:00,0.486038,9.48772,43.1973
2023-07-08 16:00:00,0.916608,20.8188,33.3848
2023-07-08 16:30:00,1.21976,25.863,41.6517
2023-07-08 17:00:00,1.39075,29.545,42.1775
2023-07-08 17:30:00,1.28105,31.097,37.9138
2023-07-08 18:00:00,1.19867,31.5896,37.6973
2023-07-08 18:30:00,1.19608,30.5931,36.605
2023-07-08 19:00:00,1.11825,31.2504,36.5513
2023-07-08 19:30:00,1.08399,31.2936,37.0168
2023-07-08 20:00:00,1.07174,32.0319,38.4726
2023-07-08 20:30:00,1.04353,30.3111,35.3412
2023-07-08 21:00:00,1.23009,32.3116,37.7617
2023-07-08 21:30:00,1.09234,32.2083,39.1109
2023-07-08 22:00:00,1.10776,32.5273,37.5859
2023-07-08 22:30:00,1.10275,31.6289,37.471
2023-07-08 23:00:00,1.09512,32.8603,37.6219
2023-07-08 23:30:00,1.09873,31.5265,37.5728
2023-07-09 00:00:00,1.08317,30.4893,33.5511
2023-07-09 00:30:00,1.08607,30.6632,33.8337
2023-07-09 01:00:00,1.10338,30.9549,35.8256
2023-07-09 01:30:00,1.13295,31.0385,34.9883
2023-07-09 02:00:00,1.13526,31.4382,35.0317
2023-07-09 02:30:00,1.1238,31.7945,34.9505
2023-07-09 03:00:00,1.17392,31.8909,34.4737
2023-07-09 03:30:00,1.13671,31.1977,34.3428
2023-07-09 04:00:00,1.15746,30.868,35.5544
2023-07-09 04:30:00,1.08175,30.6001,33.7903
2023-07-09 05:00:00,1.08891,30.7252,33.1674
2023-07-09 05:30:00,1.10245,31.3115,34.0247
2023-07-09 06:00:00,1.12929,30.3962,33.2977
2023-07-09 06:30:00,1.1069,30.0133,32.2859
2023-07-09 07:00:00,1.22235,32.7354,35.808
2023-07-09 07:30:00,1.28267,34.1294,35.2952
2023-07-09 08:00:00,1.34636,35.8711,35.4769
2023-07-09 08:30:00,1.36735,39.3475,36.9637
2023-07-09 09:00:00,1.43708,40.7983,39.4652
2023-07-09 09:30:00,1.63383,45.3926,46.9148
2023-07-09 10:00:00,1.87204,46.5019,46.9615
2023-07-09 10:30:00,1.7611,44.3081,46.4651
